Series Name,GDP growth (annual %),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (national estimate)",Exports of goods and services (% of GDP),Lending interest rate (%),"Official exchange rate (LCU per US$, period average)"
1974 [YR1974],2.310000003,..,..,5.002509525,..,1.961107089
1975 [YR1975],8.719999998,..,..,4.87951594,..,1.859823389
1976 [YR1976],-1.570000002,..,..,4.833464649,..,1.941415351
1977 [YR1977],7.570000001,..,..,4.72805664,..,1.857823382
1978 [YR1978],11.32597799,..,5.3,7.222873896,..,1.683589419
1979 [YR1979],7.59132468,..,5.4,7.831833883,..,1.554938954
1980 [YR1980],7.834145016,..,4.9,10.15213186,5.039999999,1.498386058
1981 [YR1981],5.112761091,..,3.8,12.44214025,5.039999999,1.704541666
1982 [YR1982],9.017113914,..,3.2,11.01962937,7.199999999,1.892541666
1983 [YR1983],10.77020251,..,2.3,9.517800533,7.199999999,1.975674999
1984 [YR1984],15.19154002,..,1.9,9.526692622,7.199999999,2.320041666
1985 [YR1985],13.43067752,..,1.8,8.336801727,7.919999999,2.936658333
1986 [YR1986],8.949961764,..,2,8.712177887,7.92,3.452791667
1987 [YR1987],11.65742779,7.233835531,2,12.48213452,7.92,3.7221
1988 [YR1988],11.22259498,18.81181794,2,14.38232082,9,3.7221
1989 [YR1989],4.206334355,18.24563836,2.6,11.84432938,11.34,3.765108333
1990 [YR1990],3.920251368,3.052290121,2.5,13.61471017,9.36,4.783208333
1991 [YR1991],9.262786085,3.556685652,2.3,14.48787815,8.64,5.323391667
1992 [YR1992],14.22452959,6.35398134,2.3,15.65821968,8.64,5.514591667
1993 [YR1993],13.8837293,14.61007864,2.6,16.70229455,10.98,5.761958333
1994 [YR1994],13.03680663,24.25698972,2.8,18.53684105,10.98,8.618742667
1995 [YR1995],10.95395434,16.79122517,2.9,17.95255937,12.06,8.351416667
1996 [YR1996],9.922556753,8.313160289,3,17.92324166,10.08,8.314175
1997 [YR1997],9.236779892,2.786465055,3.1,19.49320443,8.64,8.289816667
1998 [YR1998],7.845951787,-0.773186012,3.1,18.34200698,6.39,8.278958333
1999 [YR1999],7.6616515,-1.401472683,3.1,18.16258646,5.85,8.27825
2000 [YR2000],8.490093406,0.347811227,3.707,20.8937073,5.85,8.278504167
2001 [YR2001],8.335733478,0.719125609,3.6,20.31206722,5.85,8.277068333
2002 [YR2002],9.13363079,-0.731970902,4,22.64462803,5.31,8.2769575
2003 [YR2003],10.03803048,1.127603487,4.3,26.98087714,5.31,8.277036667
2004 [YR2004],10.11362138,3.824637431,4.2,31.06134134,5.58,8.276800833
2005 [YR2005],11.39459181,1.776414077,4.2,33.82992775,5.58,8.194316667
2006 [YR2006],12.72095567,1.649430995,4.1,36.03519729,6.12,7.973438333
2007 [YR2007],14.23086093,4.816767674,4,35.43494758,7.47,7.6075325
2008 [YR2008],9.650678919,5.92525137,4.2,32.60250288,5.31,6.948655
2009 [YR2009],9.398725633,-0.728165251,4.3,24.74991391,5.31,6.831416052
2010 [YR2010],10.63587106,3.175324753,4.1,27.18533272,5.81,6.770269029
2011 [YR2011],9.550832179,5.553898923,4.1,26.56818935,6.56,6.461461327
2012 [YR2012],7.863736449,2.619524326,4.1,25.49252222,6,6.312332827
2013 [YR2013],7.766150098,2.621050017,4.05,24.59925444,6,6.195758346
2014 [YR2014],7.425763656,1.921641628,4.1,23.51006091,5.6,6.143434094
2015 [YR2015],7.041328879,1.437023809,..,21.35407988,4.35,6.227488673
2016 [YR2016],6.848762205,2.000001822,..,19.58438005,4.35,6.644477829
2017 [YR2017],6.947200793,1.593136001,3.9,19.69227699,4.35,6.758755086
2018 [YR2018],6.749773832,2.0747904,4.93,19.11210354,4.35,6.615957177
