Series Name,GDP growth (annual %),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (national estimate)",Exports of goods and services (% of GDP),Lending interest rate (%)
1974 [YR1974],-2.484403897,16.04401119,2.6,27.09211639,9
1975 [YR1975],-1.473649486,24.20728767,4,25.65880996,10.46769167
1976 [YR1976],2.910266106,16.55952256,5.5,28.29536423,11.10095
1977 [YR1977],2.457750517,15.84026675,5.8,29.97134588,8.911866667
1978 [YR1978],4.204260533,8.263141039,5.7,28.29676302,9.09315
1979 [YR1979],3.749016594,13.42127998,5.3,27.65681813,13.69480833
1980 [YR1980],-2.03136782,17.96592427,6.8,26.88680239,16.31268333
1981 [YR1981],-0.787743889,11.87662651,10.4,26.24442054,13.255
1982 [YR1982],1.994891334,8.598863833,10.9,25.89367025,11.93096667
1983 [YR1983],4.221856313,4.609303273,11.088,26.02439064,9.825266667
1984 [YR1984],2.269105172,4.960710978,10.901,27.82086117,9.6801
1985 [YR1985],4.14741495,6.07139434,11.48,28.17700885,12.25298333
1986 [YR1986],3.15034063,3.427609404,11.508,25.09605836,10.90135833
1987 [YR1987],5.392738267,4.148922321,11.017,24.60977224,9.7355
1988 [YR1988],5.732413602,4.155351716,9.004,22.16280579,10.09570833
1989 [YR1989],2.577602821,5.760249092,7.405,22.63317529,13.84180833
1990 [YR1990],0.733755496,8.063460909,6.969,23.32156486,14.76811667
1991 [YR1991],-1.103121658,7.461782957,8.55,22.58773686,11.69498333
1992 [YR1992],0.40108203,4.591549296,9.772,22.9155971,9.563483333
1993 [YR1993],2.48983102,2.558577969,10.346,24.82334083,6.013633333
1994 [YR1994],3.846009161,2.219012605,9.648,26.06885155,5.462783333
1995 [YR1995],2.531670045,2.697495183,8.694,25.78062911,6.693675
1996 [YR1996],2.582022529,2.851782364,8.189,26.36119179,5.958533333
1997 [YR1997],4.924928652,2.201143135,7.072,25.76900688,6.5634
1998 [YR1998],3.414269874,1.820561637,6.198,24.42962,7.23205
1999 [YR1999],3.066176125,1.752950801,6.042,24.30534255,5.344408333
2000 [YR2000],4.318727058,1.182956242,5.558,25.65982165,5.963891667
2001 [YR2001],2.578741046,1.532349603,4.696,25.54716504,5.122375
2002 [YR2002],1.791985616,1.520402459,5.037,24.510361,4
2003 [YR2003],3.146572528,1.376500385,4.807,24.05649057,3.695791667
2004 [YR2004],2.426496549,1.390397567,4.594,24.07228892,4.379816667
2005 [YR2005],2.738842404,2.08913649,4.884,25.27151047,4.648675
2006 [YR2006],2.386275368,2.455661664,5.473,27.51212944,4.638258333
2007 [YR2007],2.620331222,2.386561508,5.399,25.51156032,5.508708333
2008 [YR2008],-0.225726975,3.521408563,5.748,27.50596135,4.675308333
2009 [YR2009],-4.614957402,1.961731736,7.683,26.88155103,0.644866667
2010 [YR2010],2.238688634,2.492654725,7.973,28.85674267,0.5
2011 [YR2011],1.145101541,3.856112447,8.195,31.38759406,0.5
2012 [YR2012],1.512936749,2.573234797,8.279,30.61856843,0.5
2013 [YR2013],1.792322216,2.291666667,7.752,30.28942477,0.5
2014 [YR2014],3.195782466,1.451120163,6.398,28.57621473,0.5
2015 [YR2015],2.220258322,0.368046842,5.552,27.84595067,..
2016 [YR2016],1.921063414,1.008417368,4.909,28.90233952,..
2017 [YR2017],2.655069668,2.557755776,4.501,30.89035103,..
2018 [YR2018],1.403792086,2.292839903,4.145,31.58011136,..
