Date,GDP growth (annual %),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (national estimate)",Exports of goods and services (% of GDP),Lending interest rate (%),"Official exchange rate (LCU per US$, period average)"
1974-01-01,2.310000003,7.233835531,5.3,5.002509525,5.039999999,1.961107089
1975-01-01,8.719999998,7.233835531,5.3,4.87951594,5.039999999,1.859823389
1976-01-01,-1.570000002,7.233835531,5.3,4.833464649,5.039999999,1.941415351
1977-01-01,7.570000001,7.233835531,5.3,4.72805664,5.039999999,1.857823382
1978-01-01,11.32597799,7.233835531,5.3,7.222873896,5.039999999,1.683589419
1979-01-01,7.59132468,7.233835531,5.4,7.831833883,5.039999999,1.554938954
1980-01-01,7.834145016,7.233835531,4.9,10.15213186,5.039999999,1.498386058
1981-01-01,5.112761091,7.233835531,3.8,12.44214025,5.039999999,1.704541666
1982-01-01,9.017113914,7.233835531,3.2,11.01962937,7.199999999,1.892541666
1983-01-01,10.77020251,7.233835531,2.3,9.517800533,7.199999999,1.975674999
1984-01-01,15.19154002,7.233835531,1.9,9.526692622,7.199999999,2.320041666
1985-01-01,13.43067752,7.233835531,1.8,8.336801727,7.919999999,2.936658333
1986-01-01,8.949961764,7.233835531,2.0,8.712177887,7.92,3.452791667
1987-01-01,11.65742779,7.233835531,2.0,12.48213452,7.92,3.7221
1988-01-01,11.22259498,18.81181794,2.0,14.38232082,9.0,3.7221
1989-01-01,4.206334355,18.24563836,2.6,11.84432938,11.34,3.765108333
1990-01-01,3.920251368,3.052290121,2.5,13.61471017,9.36,4.783208333
1991-01-01,9.262786085,3.556685652,2.3,14.48787815,8.64,5.323391667
1992-01-01,14.22452959,6.35398134,2.3,15.65821968,8.64,5.514591667
1993-01-01,13.8837293,14.61007864,2.6,16.70229455,10.98,5.761958333
1994-01-01,13.03680663,24.25698972,2.8,18.53684105,10.98,8.618742667
1995-01-01,10.95395434,16.79122517,2.9,17.95255937,12.06,8.351416667
1996-01-01,9.922556753,8.313160289,3.0,17.92324166,10.08,8.314175
1997-01-01,9.236779892,2.786465055,3.1,19.49320443,8.64,8.289816667
1998-01-01,7.845951787,-0.773186012,3.1,18.34200698,6.39,8.278958333
1999-01-01,7.6616515,-1.401472683,3.1,18.16258646,5.85,8.27825
2000-01-01,8.490093406,0.347811227,3.707,20.8937073,5.85,8.278504167
2001-01-01,8.335733478,0.719125609,3.6,20.31206722,5.85,8.277068333
2002-01-01,9.13363079,-0.731970902,4.0,22.64462803,5.31,8.2769575
2003-01-01,10.03803048,1.127603487,4.3,26.98087714,5.31,8.277036667
2004-01-01,10.11362138,3.824637431,4.2,31.06134134,5.58,8.276800833
2005-01-01,11.39459181,1.776414077,4.2,33.82992775,5.58,8.194316667
2006-01-01,12.72095567,1.649430995,4.1,36.03519729,6.12,7.973438333
2007-01-01,14.23086093,4.816767674,4.0,35.43494758,7.47,7.6075325
2008-01-01,9.650678919,5.92525137,4.2,32.60250288,5.31,6.948655
2009-01-01,9.398725633,-0.728165251,4.3,24.74991391,5.31,6.831416052
2010-01-01,10.63587106,3.175324753,4.1,27.18533272,5.81,6.770269029
2011-01-01,9.550832179,5.553898923,4.1,26.56818935,6.56,6.461461327
2012-01-01,7.863736449,2.619524326,4.1,25.49252222,6.0,6.312332827
2013-01-01,7.766150098,2.621050017,4.05,24.59925444,6.0,6.195758346
2014-01-01,7.425763656,1.921641628,4.1,23.51006091,5.6,6.143434094
2015-01-01,7.041328879,1.437023809,4.033333333333333,21.35407988,4.35,6.227488673
2016-01-01,6.848762205,2.000001822,3.9666666666666663,19.58438005,4.35,6.644477829
2017-01-01,6.947200793,1.593136001,3.9,19.69227699,4.35,6.758755086
2018-01-01,6.749773832,2.0747904,4.93,19.11210354,4.35,6.615957177
